11	Herb and Bacon Corn-Bread Stuffing		Preheat oven to 325 F. and butter a 4-quart baking dish.@newline@Cut corn bread into 1/2-inch cubes and dry in 2 large shallow baking pans in oven 20 minutes. Remove corn bread from oven and leave oven at 325 F. Coarsely chop separately celery, onions, and bacon.@newline@In a large, deep skillet saut bacon over moderately high heat, stirring, until browned, about 10 minutes. Add celery and onions and cook, stirring, until vegetables are softened, about 5 minutes. Add herbs and salt and pepper to taste and cook, stirring, 1 minute.@newline@In a large bowl toss together corn bread and bacon mixture and transfer to baking dish. Stuffing may be prepared up to this point 1 day ahead and cooled completely before being chilled, covered.@newline@Drizzle stock or broth over stuffing and bake, covered, 1 hour. Drizzle reserved fat or butter over stuffing and bake, uncovered, in upper third of oven 30 minutes more, or until top is golden.@newline@
12	Chili-Rubbed Rib-Eye Steaks		Mix first 4 ingredients in pie dish. Coat steaks with spice mixture and transfer to another dish. Cover; chill at least 8 hours.@newline@Spray grill racks with nonstick spray; prepare barbecue (medium heat). Grill steaks to desired doneness, moving and turning occasionally to prevent chili rub from burning, about 20 minutes for medium-rare. Serve steaks with pico de gallo.@newline@
13	Juan Diego Michel's Cheese-Stuffed Poblanos	This recipe for chiles en macedonia combines ingredients from three statesJalisco, Colima, and Michoacan. It came from the late Juan Diego Michel, who taught in Billy Cross's schools in Napa Valley and PuertoVallarta. The dish was a favorite of the Michel family in Jalisco, where, in his younger days, Juan Diego had his own restaurant and used the recipes from 200 years ago that had been passed down to him. To Cross, he was a Mexican-cooking mentor.	Preheat broiler.@newline@Broil tomatoes, onion, and garlic in a foil-lined shallow baking pan 2 to 3 inches from heat, turning frequently, until lightly charred on all sides, about 5 minutes for garlic, 12 to 15 minutes for onion and tomatoes (flesh should be soft). Alternatively, char vegetables in a hot well-seasoned griddle or cast-iron skillet over moderate heat.@newline@Core tomatoes and peel garlic, then pure both with onion and salt in a blender until smooth (use caution when blending hot ingredients). Force through a large sieve into a bowl, discarding solids.@newline@Heat remaining 2 tablespoons oil in a wide 4-quart heavy pot over moderately high heat until just hot. Stir about 1/2 cup tomato sauce into oil (this reduces spattering) and, when bubbling vigorously, add remaining sauce and basil. Fry sauce, stirring occasionally, until thickened, about 10 minutes.@newline@Add grapes, plantains, and mangoes to sauce and simmer gently, uncovered, stirring occasionally, until sauce is thickened and fruit is tender but still intact, about 30 minutes. Season sauce with salt.@newline@While sauce is simmering, preheat oven to 350F.@newline@Pour sauce over stuffed chiles and bake, covered with foil, until cheese is completely melted and sauce is bubbling, about 30 minutes.@newline@
14	Vegetable-Stuffed Loin of Veal with Sweetbreads	If you choose to omit the sweetbreads, simply begin the recipe by sauting the pancetta. (In that case, you may also want to purchase a larger veal or pork loin  going up to a 5-pound veal loin or a 6-pound pork loin.)	Prepare sweetbreads: Soak sweetbreads in a large bowl of ice and cold water in the refrigerator, changing water occasionally (2 or 3 times), at least 8 hours. Drain sweetbreads and transfer to a 4-quart heavy saucepan. Cover with cold water by 1 inch and add 1 tablespoon salt. Bring to a boil, then reduce heat and simmer, uncovered, until sweetbreads plump and feel slightly firmer to the touch, about 3 minutes. Drain in a colander and transfer to a bowl of cold water to stop cooking. Cut away any fat and pull away as much membrane and connective tissue as possible with a small paring knife without breaking up sweetbreads.@newline@Arrange sweetbreads in 1 layer in a baking dish, then cover with plastic wrap and top with another baking dish or plate holding weights. Chill sweetbreads, weighted, at least 8 hours.@newline@While sweetbreads chill, blanch pistachios in a small saucepan of boiling water 1 minute, then drain and peel.@newline@Pat sweetbreads dry and season with salt and pepper. Heat oil and 2 tablespoons butter in a deep 12-inch skillet over moderately high heat until foam subsides, then saut half of sweetbreads, turning over once, until golden brown, about 4 minutes total, and transfer to a plate. Add 1 tablespoon butter to skillet and saut remaining sweetbreads in same manner, transferring to plate.@newline@Add remaining 2 tablespoons butter to skillet, then reduce heat to moderate and cook pancetta, stirring occasionally, until beginning to brown, 2 to 3 minutes. Add onion, carrot, celery, garlic, bay leaf, and thyme, then reduce heat to moderately low and cook, stirring, until vegetables are softened, 3 to 5 minutes. Add Sherry and bring to a boil, then add demi-glace, water, 1/2 teaspoon salt, 1/4 teaspoon pepper, pistachios, and sweetbreads and return to a boil. Reduce heat to low, then cover surface of mixture with a buttered round of parchment paper (buttered side down) and simmer sweetbreads, skillet partially covered with lid, until firm but still springy to the touch, 15 to 20 minutes.@newline@Transfer sweetbreads with a slotted spoon to a bowl and, when cool enough to handle, pull apart into 1- to 1 1/2-inch pieces. Ladle cooking liquid through a sieve into a bowl, discarding bay leaf and thyme, and reserve. Reserve vegetables in another bowl for sauce and stuffing.@newline@
15	Toasted Barley and Asparagus "risotto"	Risotto, by definition, is made with rice. But other grainslike the barley in this main-course recipecan be prepared in the same style with equally terrific results. Toasting the barley enhances its nutty flavor and keeps it from getting soft and mushy.	Cook asparagus in pot of boiling salted water until crisp-tender, about 3 minutes. Drain. Transfer to bowl of ice water and cool. Drain. (Can be made 1 day ahead. Cover and refrigerate.)@newline@Stir barley in heavy large saucepan over medium heat until lightly toasted, about 5 minutes. Transfer barley to bowl. Melt butter in same saucepan over medium heat. Add onion and garlic; saut until tender, about 5 minutes. Add barley and stir to coat. Add 2 cups broth; reduce heat to medium-low and simmer until liquid is absorbed, stirring frequently, about 7 minutes. Mix in 2 1/2 cups broth and simmer until absorbed, stirring frequently. Add 3 cups broth and simmer until barley is tender and creamy but still slightly firm to bite, stirring frequently and adding more broth if mixture is dry, about 45 minutes. Add tomatoes and asparagus; stir until heated through, about 3 minutes. Mix in cheese, arugula and lemon peel. Season with salt and pepper.@newline@
16	Baked Pears with Sauternes Custard Sauce	Poires au Four avec Sabayon de Sauternesp@newline@pActive time: 20 min Start to finish: 1 hr	Preheat oven to 375F.@newline@Peel pears, leaving stems intact, then core from bottom using a melon-ball cutter or a sharp small knife. Stir together raisins, brown sugar, zests, and 2 tablespoons Sauternes and fill pear cavities with mixture. Stand pears upright in a buttered baking dish just large enough to hold them and pour remaining cup Sauternes over pears.@newline@Cover dish tightly with foil and bake in middle of oven until tender, 30 to 40 minutes. Transfer pears to a serving dish or plates using a metal spatula to hold filling in place and pour cooking liquid through a sieve into a bowl.@newline@Whisk together yolks and granulated sugar in a large metal bowl and add hot cooking liquid in a stream, whisking constantly. Put bowl over a pan of barely simmering water and vigorously whisk, or beat with a handheld electric mixer, until mixture is tripled in volume and registers 160F on an instant-read thermometer, 3 to 5 minutes.@newline@Serve pears warm with sauce.@newline@
17	Tea Cake Sandwich Cookies	Essentially, these are old-fashioned sugar cookies all dressed up for the holidays. If you want to use icing for decoration, follow the directions for the icing in the pNew England Molasses Gingerbread Cookiesp recipe.	Whisk flour and salt in medium bowl to blend well. Using electric mixer, beat butter and 2/3 cup sugar in large bowl until fluffy. Beat in milk, lemon peel, and vanilla extract. Add flour mixture and beat until blended. Gather dough into ball; divide in half. Flatten into disks. Wrap in plastic and chill at least 2 hours. (Can be made 2 days ahead. Keep chilled. Let soften slightly before rolling out.)@newline@Roll out each dough disk between sheets of waxed paper to 14x11-inch rectangle, occasionally lifting waxed paper to smooth out wrinkles. Refrigerate dough on baking sheets, still between sheets of waxed paper, until cold and firm, about 30 minutes. Place 1 dough piece on work surface. Peel off top sheet of waxed paper. Press same waxed paper gently back onto dough. Turn dough over (still between waxed paper sheets). Peel off top sheet of waxed paper and discard. Using 2 1/4-inch scalloped round cutter and with dough still on waxed paper bottom, cut out cookies. Using 1- to 1 1/4-inch scalloped round cutter, cut out center from half of cookies. Gather dough centers and excess dough around cutouts; shape excess dough into disk and chill. Slide waxed paper with cutouts onto baking sheet and chill. Repeat with remaining dough disk, cutting out rounds, cutting centers from half of rounds to make top rings, and gathering and chilling excess dough. Roll out excess dough between sheets of waxed paper, making more cookie bottoms and top rings. Repeat rolling and cutting until all of dough is used.@newline@Position rack in center of oven and preheat to 350F. Spray 2 large baking sheets with nonstick spray. Using metal spatula to lift cutouts from waxed paper, transfer cookie bottoms to 1 prepared sheet and top rings to second sheet, spacing slightly apart (cookies spread very little). Sprinkle some top rings with colored sugar crystals (or leave plain to decorate later). Bake cookies, 1 sheet at a time, until pale golden, about 8 minutes. Cool cookies on baking sheets 5 minutes. Transfer cookies to racks; cool completely.@newline@Arrange cookie bottoms on work surface. Spread each with 1 teaspoon preserves. Sift powdered sugar over plain cookie rings or decorate with icing and sugar crystals or edible glitter as desired. Press 1 top ring onto each prepared cookie bottom. (Cookies can be made 3 days ahead. Store airtight between sheets of waxed paper in refrigerator.)@newline@
18	Grilled Salmon Fillets with Creamy Horseradish Sauce		For sauce: Mix all ingredients in small bowl. Season with salt and pepper. (Can be made 1 day ahead. Cover and chill.)@newline@
19	Cashew Orange Biscotti	These biscotti are equally delicious made with roasted almonds, pecans, or hazelnuts in place of the cashews.	Preheat oven to 300F. and butter a large baking sheet.@newline@Coarsely chop cashews. Into a bowl sift together flour, sugar, baking soda, and salt. In another bowl with an electric mixer beat together 3 eggs, zest, and vanilla until just combined. Stir in flour mixture and beat until a stiff dough is formed. Stir in cashews.@newline@In a small bowl beat together water and remaining egg to make an egg wash. On baking sheet with floured hands form dough into two 12-inch-long logs and flatten slightly. Brush logs with some egg wash. Bake logs in middle of oven until golden, about 50 minutes. Cool logs on baking sheet on a rack 10 minutes.@newline@On a cutting board with a serrated knife diagonally cut logs into roughly 1/3-inch-thick slices. Arrange biscotti, a cut side down, on baking sheet and bake in middle of oven until crisp, about 15 minutes. Cool biscotti on rack. Biscotti keep in an airtight container at cool room temperature 2 weeks.@newline@
20	Hoisin and Honey Glazed Pork Chops	Active time: 15 min Start to finish: 45 min	Put oven rack in middle position and preheat oven to 400F.@newline@Cut scallions diagonally into 2-inch pieces.@newline@Whisk together remaining ingredients except pork in a large bowl. Add scallions and pork, turning pork to coat generously with sauce.@newline@Arrange pork in 1 layer in a 15- by 10-inch shallow baking pan (1 inch deep). Spoon remaining sauce with scallions over pork and roast until just cooked through, 15 to 20 minutes.@newline@Turn on broiler and broil pork 5 to 6 inches from heat until top is slightly caramelized, 2 to 5 minutes. Let stand, uncovered, 5 minutes. Serve pork topped with any pan juices.@newline@
21	Perfectly Poached Shrimp with Green Goddess Sauce		For sauce: Finely chop garlic in food processor. Add all remaining ingredients; blend until smooth and pale green. Season sauce to taste with salt and pepper. Transfer sauce to serving bowl. Cover and refrigerate until cold. (Can be prepared 2 days ahead. Keep refrigerated.)@newline@
22	Walnut Tartlets	(TARTELETTES AUX NOIX)	Preheat oven to 400F. Roll out 1 pastry disk on floured surface to 6-inch round. Transfer to 4 1/2-inch-diameter tartlet pan with removable bottom. Press crust onto bottom and up sides of pan; trim overhang to 1/2 inch. Fold overhang in and press, forming double-thick sides. Repeat with remaining dough disks and 5 more pans. Chill crusts while making filling.@newline@Stir cream and next 5 ingredients in heavy medium saucepan over medium-low heat until sugar dissolves. Increase heat; boil until mixture bubbles thickly and color darkens slightly, about 6 minutes. Remove from heat; stir in walnuts.@newline@Place crusts on baking sheet. Divide filling among crusts. Bake tartlets until filling bubbles thickly and crusts are golden, about 25 minutes. Cool tartlets in pans on rack 5 minutes. Remove pan sides while tartlets are still warm. Serve slightly warm or at room temperature.@newline@
23	Sour Cherry Strudels		Bring cherries (with any juices), 3/4 cup sugar, and cornstarch to a boil in a 2 1/2- to 3-quart heavy saucepan, stirring occasionally, then simmer 2 minutes. Transfer filling to a bowl and cool completely.@newline@While cherry filling cools, arrange 3 phyllo sheets in 1 layer on a work surface and let dry 15 minutes. Keeping 12 remaining sheets stacked, halve crosswise, then stack halves. Cover stack with a piece of plastic wrap and a dampened kitchen towel. Finely crumble 3 dried phyllo sheets into a bowl.@newline@Preheat oven to 400F.@newline@Arrange 1 piece of phyllo on work surface with a short side nearest you (keep remaining sheets covered) and brush with some butter. Top with 3 more phyllo pieces, brushing each with butter.@newline@Sprinkle 2 tablespoons crumbled phyllo over lower third of buttered phyllo, leaving a 2-inch border along bottom and sides, then top with a rounded 1/3 cup filling. Fold bottom edge of phyllo up over filling and fold in sides to enclose filling completely, then roll up phyllo to form a strudel, about 4 1/2 by 2 1/2 inches. Transfer, seam side down, to a buttered baking sheet. Brush top with some butter, then sprinkle lightly with 1/4 teaspoon sugar. Cut 2 (1-inch) vents diagonally across top of strudel, about 1 1/2 inches apart, with a paring knife. Make 5 more strudels in same manner.@newline@Bake strudels in middle of oven until golden brown and crisp, 20 to 25 minutes. Transfer to a rack and cool 30 minutes.@newline@
24	Japanese Cold Noodles	Somenp@newline@pActive time: 20 min Start to finish: 1 hrp@newline@pIn a six-part series in 1975, correspondent Elizabeth Andoh taught us about the reverent seasonality of Japanese cuisine. It was with this summer recipe that many of us learned that noodles as well as rice are eaten in Japan. The concept of icy-cold noodles took only one taste to grasp: Andoh's recipe for somen is one of the lightest and most refreshing pasta preparations we've ever had.	Make dipping sauce: Heat all dipping sauce ingredients in a small saucepan over low heat, stirring, until sugar is dissolved. Cool sauce, then chill, covered, until cold, about 1 hour.@newline@
25	Fricasse of Beef and Fava Beans	A fusion of flavors and technique from two cuisines makes this main course taste new. The cooking method is based on an Italian pfricasseap made with egg yolks and cream; the combination of favas and mint is Middle Eastern. The resulting dish is absolutely delicious. Serve with plenty of crusty bread to mop up the sauce.	Cook fresh fava beans in large pot of boiling salted water 2 minutes. Drain favas. Place in large bowl of ice water. Drain. Slip outer skin off each bean and discard skin; place beans in large bowl. (If using frozen beans, do not blanch.)@newline@Melt 1 tablespoon butter with 1 tablespoon oil in large nonstick skillet over high heat. Working in batches, add beef and saut just until browned on both sides, about 2 minutes. Transfer beef to medium bowl.@newline@Melt remaining 1 tablespoon butter with 1 tablespoon oil in same skillet over medium heat. Add onions; saut until tender and golden, about 15 minutes. Add fava beans; saut 5 minutes. Remove from heat; cool 15 minutes.@newline@Meanwhile, whisk whipping cream, lemon juice, egg yolks, salt, and pepper in small bowl to blend. Stir cream mixture into fava bean mixture. Cook over medium-low heat just until sauce thickens slightly and mixture is heated through, about 6 minutes (do not boil). Add beef and stir until heated through, about 3 minutes. Transfer fricassee to rimmed platter. Sprinkle with mint.@newline@
26	Grilled Pepper, Basil, and Turkey Roulade with Basil Sour Cream Sauce	This recipe uses a combination of direct and indirect heat, which can be accomplished using a charcoal or gas grill. If you have a gas grill, you can easily use it to roast the peppers.	Roast peppers: Roast peppers on racks of gas burners over high heat, turning with tongs, until skins are blackened, 5 to 8 minutes. (Alternatively, broil peppers on rack of a broiler pan about 5 inches from heat, turning occasionally, about 15 minutes.) Transfer to a bowl and let stand, covered, until cool enough to handle.@newline@Peel peppers and discard stems and seeds. Finely chop peppers and pat dry, then season with salt and pepper.@newline@
27	Spotted Dick		Fill a large heavy pot (at least 8 inches across by 6 inches deep, with a tight-fitting lid) with 1 1/2 inches water. Make a platform for pudding by setting metal cookie cutters or egg-poaching rings in bottom of pot. Knead fruit and zest into dough and form dough into a ball. Put into well-buttered pudding mold and flatten top. Top dough with a round of buttered wax paper, buttered side down, and cover top of mold with heavy-duty foil, crimping tightly around edge.@newline@Bring water in pot to a boil and set mold on platform. Steam pudding, covered, over simmering water 1 1/2 to 2 hours (add more boiling water to pot if necessary), or until golden and puffed. Transfer pudding in mold to a rack and let stand 5 minutes. Discard foil and wax paper and run a thin knife around edge of pudding. Invert a plate over mold, then invert pudding onto plate. Serve immediately with custard sauce.@newline@
28	Feta and Walnut Phyllo Rolls	Active time: 30 min Start to finish: 1 1/4 hrp@newline@pSavory pastries are a popular element of Turkish cuisine, with a seemingly endless number of shapes and fillings. These little rolls are called sigara bregi, or pastry cigars, because of their shape.	Preheat oven to 350F.@newline@Blend feta, walnuts, Aleppo flakes, and a pinch of salt in a food processor until a ball begins to form. Form into 27 (1-inch) balls, then roll balls into 2 1/2-inch logs.@newline@Leave phyllo sheets stacked and cut lengthwise into thirds, then stack thirds into 1 pile. Cover with plastic wrap and a dampened kitchen towel.@newline@Place 1 sheet of phyllo with a short end nearest you on a work surface (keep remaining sheets covered) and brush with butter. Place a feta log in center of phyllo sheet parallel to short end. Fold phyllo in half, enclosing log, and brush with butter. Starting at end with log, roll up pastry to resemble a cigar.@newline@Transfer, seam side down, to a lightly buttered baking sheet, then make 26 more rolls in same manner.@newline@Brush rolls with some butter and bake in middle of oven until golden, about 25 minutes. Cool on baking sheet on a rack. Serve warm or at room temperature.@newline@
29	Island Pork Tenderloin Salad		Prepare pork: Preheat oven to 350F.@newline@Stir together salt, pepper, cumin, chili powder, and cinnamon, then coat pork with spice rub.@newline@Heat oil in an ovenproof 12-inch heavy skillet over moderately high heat until just beginning to smoke, then brown pork, turning, about 4 minutes total. Leave pork in skillet.@newline@
30	Potato and Salmon Casserole	Canned salmon (with soft, edible bones) and potatoes are good sources of calcium.	Preheat oven to 400F. Spray 10-inch-diameter glass pie dish with oil spray. Separate salmon into chunks, leaving bones intact (bones are very soft and will blend into potato mixture). Remove black pieces of skin; discard. Set salmon aside.@newline@Cook potatoes in large pot of boiling salted water until very tender, about 20 minutes. Drain. Transfer potatoes to large bowl. Add milk, goat cheese and 2 tablespoons Parmesan cheese. Using electric mixer, beat until almost smooth. Season with salt and pepper. Beat in eggs. Stir in salmon and green onions. Transfer mixture to prepared dish. Sprinkle with remaining 1 tablespoon Parmesan cheese.@newline@Bake casserole until golden and heated through, about 45 minutes.@newline@
31	Cheddar & Jalapeo Corn Sticks		Preheat oven to 425F. Heat pans in middle of oven 10 minutes.@newline@Whisk together cornmeal, sugar, baking soda, and salt in a large bowl. Whisk together buttermilk and egg in another bowl and add cornmeal mixture with Cheddar, scallion, jalapeos, and 2 tablespoons butter, stirring, until just combined.@newline@Remove pans from oven and divide remaining 2 tablespoons butter among corn stick molds. Quickly divide batter among molds (about 3 tablespoons each) and bake until a tester comes out clean and tops are golden, 12 to 15 minutes.@newline@
32	Butternut Squash Chowder with Pears and Ginger	This autumnal dish is especially appropriate and welcome as the first course on a cool fall evening. The subtle sweetness of the squash is enhanced by the flavors of the pears, orange, and ginger, making it a great addition also to the Thanksgiving Table.	Place the pears in a bowl with the lemon juice, cover with water, and set aside.@newline@In a large saucepan, heat the olive oil over high heat until lightly smoking. Add the onion, celery, and carrot, and saut for 2 to 3 minutes, or until the onion is translucent. Add the garlic and ginger and saut for 1 minute longer, stirring constantly. Add the white wine and reduce the liquid until the pan is almost dry, about 3 minutes.@newline@Drain half of the pears, reserving the other half in the lemon water for garnish. Add the drained pears to the pan with the squash, potato, and stock and bring to a boil. Reduce the heat to a simmer and cook for 30 minutes, or until the squash is tender. Transfer half of the soup in batches to a blender and puree until smooth. Strain through a fine-mesh sieve back into the saucepan with the unpureed mixture. Add the orange juice, lemon juice, cream, salt, and the reserved pears and gently warm the chowder through (do not boil). The chowder can be made 1 day ahead.@newline@
33	Sheboygan-Style Beer-Soaked "Brats"		In a large deep heavy skillet stir together beer, mustard, and ketchup.@newline@Cut 1 onion into thick slices and add to beer mixture.@newline@Bring beer mixture to a boil and in it simmer bratwursts, uncovered, turning occasionally, 20 minutes.@newline@Prepare gill.@newline@Remove bratwursts from beer mixture, discarding beer mixture. Cut remaining 3 onions into thick slices, keeping slices intact.@newline@Grill bratwursts with onion slices on an oiled rack set 5 to 6 inches over glowing coals, turning onions once, until bratwursts are cooked through and golden brown and onions are cooked through, about 5 minutes.@newline@Put a pair of "brats," cut in half lengthwise and stacked, on each roll.@newline@Top brats with grilled onion, pickles, and mustard.@newline@
34	Honey-Glazed Carrots and Shallots	Active time: 25 min Start to finish: 1 1/4 hr	Spread carrots and shallots evenly in a 12-inch heavy skillet, then dot with butter and sprinkle with salt. Whisk together water, broth, Port, and honey and pour over vegetables. Cover skillet with a lid (or tightly with foil) and simmer over moderate heat until vegetables are tender when pierced with a paring knife, about 20 minutes.@newline@Transfer vegetables with a slotted spoon to a bowl and boil liquid over moderately high heat, uncovered, until syrupy and reduced to about 3 tablespoons, about 15 minutes. Return vegetables to skillet and gently stir to coat with glaze. Sprinkle with dill and chives (if using) and pepper.@newline@
35	Baked Ham with Mustard-Red Currant Glaze and Rhubarb Chutney	What to drink: Fruity, soft red wines  such as Merlot and some Zinfandels  work well with the mustard glaze and ham.	Position rack in bottom third of oven and preheat to 325F. Whisk jelly, mustard, and ginger in heavy medium saucepan over medium heat until melted, about 1 minute. Remove glaze from heat.@newline@Trim any tough rind and fat from upper side of ham, leaving 1/4-inch-thick layer of fat. Using long sharp knife, score fat in 1-inch-wide diamond pattern. Place ham in roasting pan. Bake 1 hour. Brush top and sides of ham generously with some of glaze. Bake until thermometer inserted into thickest part of ham registers 140F, brushing with glaze every 15 minutes and tenting ham with foil if browning too quickly, about 1 hour 15 minutes. Remove ham from oven; let stand 15 minutes. Transfer to platter. Garnish with watercress. Serve with Rhubarb Chutney.@newline@
