Tea Cake Sandwich Cookies	Essentially, these are old-fashioned sugar cookies all dressed up for the holidays. If you want to use icing for decoration, follow the directions for the icing in the pNew England Molasses Gingerbread Cookiesp recipe.	3 cups all purpose flour^1/2 teaspoon salt^1 1/4 cups (21/2 sticks) unsalted butter, room temperature^2/3 cup sugar^2 1/2 tablespoons whole milk^1 tablespoon grated lemon peel^2 teaspoons vanilla extract^Nonstick vegetable oil spray^Assorted decorations (such as powdered sugar, icing, colored sugar crystals, and edible glitter)^2/3 cup preserves (such as apricot, seedless raspberry, or seedless blackberry)	Whisk flour and salt in medium bowl to blend well. Using electric mixer, beat butter and 2/3 cup sugar in large bowl until fluffy. Beat in milk, lemon peel, and vanilla extract. Add flour mixture and beat until blended. Gather dough into ball; divide in half. Flatten into disks. Wrap in plastic and chill at least 2 hours. (Can be made 2 days ahead. Keep chilled. Let soften slightly before rolling out.)@newline@Roll out each dough disk between sheets of waxed paper to 14x11-inch rectangle, occasionally lifting waxed paper to smooth out wrinkles. Refrigerate dough on baking sheets, still between sheets of waxed paper, until cold and firm, about 30 minutes. Place 1 dough piece on work surface. Peel off top sheet of waxed paper. Press same waxed paper gently back onto dough. Turn dough over (still between waxed paper sheets). Peel off top sheet of waxed paper and discard. Using 2 1/4-inch scalloped round cutter and with dough still on waxed paper bottom, cut out cookies. Using 1- to 1 1/4-inch scalloped round cutter, cut out center from half of cookies. Gather dough centers and excess dough around cutouts; shape excess dough into disk and chill. Slide waxed paper with cutouts onto baking sheet and chill. Repeat with remaining dough disk, cutting out rounds, cutting centers from half of rounds to make top rings, and gathering and chilling excess dough. Roll out excess dough between sheets of waxed paper, making more cookie bottoms and top rings. Repeat rolling and cutting until all of dough is used.@newline@Position rack in center of oven and preheat to 350F. Spray 2 large baking sheets with nonstick spray. Using metal spatula to lift cutouts from waxed paper, transfer cookie bottoms to 1 prepared sheet and top rings to second sheet, spacing slightly apart (cookies spread very little). Sprinkle some top rings with colored sugar crystals (or leave plain to decorate later). Bake cookies, 1 sheet at a time, until pale golden, about 8 minutes. Cool cookies on baking sheets 5 minutes. Transfer cookies to racks; cool completely.@newline@Arrange cookie bottoms on work surface. Spread each with 1 teaspoon preserves. Sift powdered sugar over plain cookie rings or decorate with icing and sugar crystals or edible glitter as desired. Press 1 top ring onto each prepared cookie bottom. (Cookies can be made 3 days ahead. Store airtight between sheets of waxed paper in refrigerator.)@newline@	American^Cookie^Milk/Cream^Mixer^Berry^Bake^Christmas^Winter^Jam or Jelly^Bon Apptit
Roasted Green Bean, Red Onion, and Beet Salad		10 large beets, trimmed^6 tablespoons extra-virgin olive oil^8 teaspoons chopped fresh thyme^Nonstick vegetable oil spray^4 red onions, each cut into 6 wedges^2 1/2 pounds slender green beans, trimmed, cut into 3-inch lengths^1/4 cup water^3 tablespoons balsamic vinegar	Preheat oven to 400F. Wrap beets tightly in foil. Place directly on oven rack. Roast until tender when pierced with knife, about 1 hour. Cool beets. Peel and quarter beets. Transfer to large bowl. Add 2 tablespoons olive oil, 2 teaspoons thyme, salt, and pepper; toss to coat.@newline@Spray 2 large rimmed baking sheets with nonstick spray. Divide onion wedges between prepared baking sheets. Brush onions on both sides with 2 tablespoons oil; sprinkle with 4 teaspoons thyme, salt, and pepper. Arrange onions cut side down and roast until golden brown on bottom, about 10 minutes. Turn onions over. Roast until golden brown and tender, about 10 minutes longer. Transfer to another large bowl.@newline@Divide green beans between same baking sheets. Drizzle beans with remaining 2 tablespoons olive oil, 1/4 cup water, and 2 teaspoons thyme. Sprinkle with salt and pepper. Cover tightly with foil and roast until almost crisp-tender, about 14 minutes. Uncover and continue to roast until water evaporates and beans are crisp-tender, about 5 minutes. Transfer to bowl with onions. (Beets, onions, and green beans can be prepared 2 hours ahead. Let stand at room temperature.)@newline@Drizzle onions and green beans with balsamic vinegar; toss to coat. Season to taste with salt and pepper. Top with beets and serve warm or at room temperature.@newline@	American^Salad^Bean^Onion^Vegetable^Side^Roast^Vinegar^Green Bean^Beet^Summer^Thyme^Bon Apptit^Vegan^Vegetarian^Pescatarian^Dairy Free^Wheat/Gluten-Free^Peanut Free^Tree Nut Free^Soy Free^No Sugar Added^Kosher
Prosciutto-Wrapped Salmon		6 (6-ounces) center-cut pieces of salmon fillet, skinned and halved crosswise^12 very thin slices prosciutto (1/4 pound)^2 tablespoons extra-virgin olive oil	Preheat oven to 425F.@newline@Season salmon lightly with salt and wrap each piece in a slice of prosciutto, leaving ends of salmon exposed. Transfer, seam sides down, to an oiled large shallow baking pan. Season with pepper and drizzle each piece with 1/2 teaspoon oil. Bake in middle of oven until just cooked through, 8 to 9 minutes.@newline@Serve over Herbed Bean Ragout@newline@	Bake^Wheat/Gluten-Free^Salmon^Prosciutto^Gourmet
Walnut Tartlets	(TARTELETTES AUX NOIX)	Pastry Crust Dough^1 cup whipping cream^1/2 cup sugar^1/4 cup (packed) golden brown sugar^1/4 cup honey^1 teaspoon grated orange peel^1/2 teaspoon whole aniseed^1 3/4 cups walnuts, toasted, chopped	Preheat oven to 400F. Roll out 1 pastry disk on floured surface to 6-inch round. Transfer to 4 1/2-inch-diameter tartlet pan with removable bottom. Press crust onto bottom and up sides of pan; trim overhang to 1/2 inch. Fold overhang in and press, forming double-thick sides. Repeat with remaining dough disks and 5 more pans. Chill crusts while making filling.@newline@Stir cream and next 5 ingredients in heavy medium saucepan over medium-low heat until sugar dissolves. Increase heat; boil until mixture bubbles thickly and color darkens slightly, about 6 minutes. Remove from heat; stir in walnuts.@newline@Place crusts on baking sheet. Divide filling among crusts. Bake tartlets until filling bubbles thickly and crusts are golden, about 25 minutes. Cool tartlets in pans on rack 5 minutes. Remove pan sides while tartlets are still warm. Serve slightly warm or at room temperature.@newline@	French^Milk/Cream^Nut^Dessert^Bake^Kid-Friendly^Walnut^Honey^Anise^Bon Apptit
Baked Pears with Sauternes Custard Sauce	Poires au Four avec Sabayon de Sauternesp@newline@pActive time: 20 min Start to finish: 1 hr	8 firm-ripe Bartlett pears^1/2 cup raisins, chopped^1/2 cup packed light brown sugar^1/2 teaspoon finely grated fresh orange zest^1/2 teaspoon finely grated fresh lemon zest^1 cup plus 2 tablespoons Sauternes or other white dessert wine^6 large egg yolks^1/4 cup granulated sugar^Accompaniment: Madeleines	Preheat oven to 375F.@newline@Peel pears, leaving stems intact, then core from bottom using a melon-ball cutter or a sharp small knife. Stir together raisins, brown sugar, zests, and 2 tablespoons Sauternes and fill pear cavities with mixture. Stand pears upright in a buttered baking dish just large enough to hold them and pour remaining cup Sauternes over pears.@newline@Cover dish tightly with foil and bake in middle of oven until tender, 30 to 40 minutes. Transfer pears to a serving dish or plates using a metal spatula to hold filling in place and pour cooking liquid through a sieve into a bowl.@newline@Whisk together yolks and granulated sugar in a large metal bowl and add hot cooking liquid in a stream, whisking constantly. Put bowl over a pan of barely simmering water and vigorously whisk, or beat with a handheld electric mixer, until mixture is tripled in volume and registers 160F on an instant-read thermometer, 3 to 5 minutes.@newline@Serve pears warm with sauce.@newline@	French^Dessert^Bake^Raisin^Pear^White Wine^Winter^Gourmet
Sheboygan-Style Beer-Soaked "Brats"		4 cups beer (not dark)^1/4 cup Bavarian mustard^2 tablespoons ketchup^4 large onions^12 uncooked bratwursts^6 hard rolls, halved and well buttered^sliced dill pickles^Bavarian mustard	In a large deep heavy skillet stir together beer, mustard, and ketchup.@newline@Cut 1 onion into thick slices and add to beer mixture.@newline@Bring beer mixture to a boil and in it simmer bratwursts, uncovered, turning occasionally, 20 minutes.@newline@Prepare gill.@newline@Remove bratwursts from beer mixture, discarding beer mixture. Cut remaining 3 onions into thick slices, keeping slices intact.@newline@Grill bratwursts with onion slices on an oiled rack set 5 to 6 inches over glowing coals, turning onions once, until bratwursts are cooked through and golden brown and onions are cooked through, about 5 minutes.@newline@Put a pair of "brats," cut in half lengthwise and stacked, on each roll.@newline@Top brats with grilled onion, pickles, and mustard.@newline@	American^Beer^Onion^Sausage^Summer^Oktoberfest^Tailgating^Gourmet
Honey-Glazed Carrots and Shallots	Active time: 25 min Start to finish: 1 1/4 hr	2 lb carrots (10 medium), cut diagonally into 3/4-inch-thick pieces^1 lb small shallots (12), peeled and trimmed, keeping root ends intact^2 tablespoons unsalted butter, cut into bits^3/4 teaspoon salt^1 1/2 cups water^1 cup chicken broth^1/3 cup white Port^1/3 cup mild honey^2 teaspoons chopped fresh dill (optional)^2 teaspoons chopped fresh chives (optional)^1/4 teaspoon black pepper	Spread carrots and shallots evenly in a 12-inch heavy skillet, then dot with butter and sprinkle with salt. Whisk together water, broth, Port, and honey and pour over vegetables. Cover skillet with a lid (or tightly with foil) and simmer over moderate heat until vegetables are tender when pierced with a paring knife, about 20 minutes.@newline@Transfer vegetables with a slotted spoon to a bowl and boil liquid over moderately high heat, uncovered, until syrupy and reduced to about 3 tablespoons, about 15 minutes. Return vegetables to skillet and gently stir to coat with glaze. Sprinkle with dill and chives (if using) and pepper.@newline@	Vegetable^Side^Christmas^Thanksgiving^Vegetarian^Carrot^Fall^Honey^Shallot^Gourmet^Wheat/Gluten-Free^Peanut Free^Tree Nut Free^Soy Free
Roast Wild Turkey with Blue Cornbread-Shrimp Stuffing		1 tablespoon vegetable oil^1 pound medium shrimp - shelled and deveined^1/2 cup (1 stick) unsalted butter^1 cup chopped onions^1/4 cup diced celery^1/4 cup diced carrot^4 serrano chiles - de-ribbed, seeded and minced^6 cloves garlic - minced^1/4 cup choppedchayote (optional)^1/4 cup bourbon whiskey^1 teaspoon minced thyme^1 teaspoon minced sage^2 teaspoons chopped cilantro^8 cups coarsely crumbledblue corn bread^1/2 cup chicken stock or turkey stock^1 to 2 teaspoons salt^1 wild turkey - 8 to 10 pounds^salt to taste^freshly ground black pepper to taste^unsalted butter - at room temperature	Preheat oven to 350F.@newline@To make the stuffing, heat the vegetable oil in a skillet and saut the shrimp over medium heat until cooked through, about 1 minute. Let cool, dice, and set aside.@newline@In a large skillet, melt the butter and saut the onions, celery, carrot, serranos, garlic and chayote over high heat for 2 to 3 minutes. Deglaze the vegetables with the bourbon and continue cooking over high heat for 1 minute or until the liquid evaporates. Remove the skillet from the heat and add the thyme, sage, cilantro, shrimp, and crumbled blue corn sticks. Moisten with the stock and season with salt. Stir to combine.@newline@Wash the turkey well and season the cavity with salt and pepper. Stuff the turkey and truss with a needle and string. Rub the turkey generously with the softened butter and season the outside of the turkey with more salt and pepper.@newline@Place the turkey on a rack in a roasting pan, cover tightly with foil, and roast in the oven for 2 1/2 to 3 1/2 hours. Baste well with butter periodically Remove the foil in the last hour of cooking to allow the turkey to brown. When done, transfer the turkey to a platter and let it rest for 10 to 15 minutes before carving. Remove the string and serve the turkey with the stuffing and a gravy made from the giblets.@newline@	American^Garlic^Onion^turkey^Roast^Thanksgiving^Cornmeal^Shrimp^Whiskey^Hot Pepper
Hoisin and Honey Glazed Pork Chops	Active time: 15 min Start to finish: 45 min	1 bunch scallions^1/4 cup Asian oyster sauce^2 tablespoons Dijon mustard^2 tablespoons hoisin sauce^1 teaspoon finely grated peeled fresh ginger^2 tablespoons honey^1 tablespoon soy sauce^4 (1-inch-thick) pork chops (2 lb total)^Accompaniment: cooked rice	Put oven rack in middle position and preheat oven to 400F.@newline@Cut scallions diagonally into 2-inch pieces.@newline@Whisk together remaining ingredients except pork in a large bowl. Add scallions and pork, turning pork to coat generously with sauce.@newline@Arrange pork in 1 layer in a 15- by 10-inch shallow baking pan (1 inch deep). Spoon remaining sauce with scallions over pork and roast until just cooked through, 15 to 20 minutes.@newline@Turn on broiler and broil pork 5 to 6 inches from heat until top is slightly caramelized, 2 to 5 minutes. Let stand, uncovered, 5 minutes. Serve pork topped with any pan juices.@newline@	Asian^Bake^Broil^Quick & Easy^Pork Chop^Honey^Gourmet
Cashew Orange Biscotti	These biscotti are equally delicious made with roasted almonds, pecans, or hazelnuts in place of the cashews.	1 1/2 cups roasted cashews (about 7 ounces)^2 cups unbleached all-purpose flour^1 cup sugar^1 teaspoon baking soda^1/4 teaspoon salt^4 large eggs^1 tablespoon freshly grated orange zest^1 teaspoon vanilla^1 teaspoon water	Preheat oven to 300F. and butter a large baking sheet.@newline@Coarsely chop cashews. Into a bowl sift together flour, sugar, baking soda, and salt. In another bowl with an electric mixer beat together 3 eggs, zest, and vanilla until just combined. Stir in flour mixture and beat until a stiff dough is formed. Stir in cashews.@newline@In a small bowl beat together water and remaining egg to make an egg wash. On baking sheet with floured hands form dough into two 12-inch-long logs and flatten slightly. Brush logs with some egg wash. Bake logs in middle of oven until golden, about 50 minutes. Cool logs on baking sheet on a rack 10 minutes.@newline@On a cutting board with a serrated knife diagonally cut logs into roughly 1/3-inch-thick slices. Arrange biscotti, a cut side down, on baking sheet and bake in middle of oven until crisp, about 15 minutes. Cool biscotti on rack. Biscotti keep in an airtight container at cool room temperature 2 weeks.@newline@	Italian^Cookie^Bake^Vegetarian^Orange^Cashew^Spring^Gourmet
Feta and Walnut Phyllo Rolls	Active time: 30 min Start to finish: 1 1/4 hrp@newline@pSavory pastries are a popular element of Turkish cuisine, with a seemingly endless number of shapes and fillings. These little rolls are called sigara bregi, or pastry cigars, because of their shape.	5 oz feta, patted dry if wet, then crumbled^1/4 cup walnuts, toasted and finely chopped^3/4 teaspoon dried Aleppo chile flakes^9 (17- by 12-inch) phyllo sheets (preferably spelt phyllo)^1 1/2 sticks (3/4 cup) unsalted butter, melted	Preheat oven to 350F.@newline@Blend feta, walnuts, Aleppo flakes, and a pinch of salt in a food processor until a ball begins to form. Form into 27 (1-inch) balls, then roll balls into 2 1/2-inch logs.@newline@Leave phyllo sheets stacked and cut lengthwise into thirds, then stack thirds into 1 pile. Cover with plastic wrap and a dampened kitchen towel.@newline@Place 1 sheet of phyllo with a short end nearest you on a work surface (keep remaining sheets covered) and brush with butter. Place a feta log in center of phyllo sheet parallel to short end. Fold phyllo in half, enclosing log, and brush with butter. Starting at end with log, roll up pastry to resemble a cigar.@newline@Transfer, seam side down, to a lightly buttered baking sheet, then make 26 more rolls in same manner.@newline@Brush rolls with some butter and bake in middle of oven until golden, about 25 minutes. Cool on baking sheet on a rack. Serve warm or at room temperature.@newline@	Middle Eastern^Bake^Vegetarian^Feta^Walnut^Phyllo/Puff Pastry Dough^Gourmet
